青山,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,アオヤマ,アオヤマ,2/4,C1
雨晴,1350,1350,7000,名詞,固有名詞,人名,姓,*,*,*,アメハレ,アメハレ,2/4,C1
音街,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,オトマチ,オトマチ,2/4,C1
春日部,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,カスカベ,カスカベ,0/4,C1
紲星,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,キズナ,キズナ,1/3,C1
九州,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,キュウシュウ,キュウシュウ,1/4,C1
キョウコ,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,キョオコ,キョオコ,1/3,C1
玄野,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,クロノ,クロノ,1/3,C1
虎太郎,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,コタロウ,コタロー,4/4,C1
琴葉,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,コトノハ,コトノハ,0/4,C1
四国,1350,1350,2200,名詞,固有名詞,人名,姓,*,*,*,シコク,シコク,1/3,C1
白上,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,シラカミ,シラカミ,4/4,C1
ずんだもん,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ズンダモン,ズンダモン,1/5,C1
そら,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ソラ,ソラ,1/2,C1
波音,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ナミネ,ナミネ,0/3,C1
武宏,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,タケヒロ,タケヒロ,2/4,C1
月読,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ツクヨミ,ツクヨミ,0/4,C1
つむぎ,1351,1351,7450,名詞,固有名詞,人名,名,*,*,*,ツムギ,ツムギ,0/3,C1
はう,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,ハウ,ハウ,1/2,C1
桜乃,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ハルノ,ハルノ,1/3,C1
ひまり,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ヒマリ,ヒマリ,0/3,C1
水奈瀬,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ミナセ,ミナセ,2/3,C1
冥鳴,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,メイメイ,メイメイ,1/4,C1
鳴花,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,メイカ,メイカ,1/3,C1
めたん,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,メタン,メタン,1/3,C1
もち子さん,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,モチコサン,モチコサン,1/5,C1
モチノ,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,モチノ,モチノ,0/3,C1
結月,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ユヅキ,ユヅキ,1/3,C1
弓鶴,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ユヅル,ユヅル,0/3,C1
リツ,1351,1351,3900,名詞,固有名詞,人名,名,*,*,*,リツ,リツ,1/2,C1
六花,1351,1351,4900,名詞,固有名詞,人名,名,*,*,*,リッカ,リッカ,1/3,C1
龍星,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,リュウセイ,リュウセイ,1/4,C1
ＣＯＥＩＲＯＩＮＫＵ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエイロインク,コエイロインク,5/7,C1
ｃｏｅｉｒｏｉｎｋｕ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエイロインク,コエイロインク,5/7,C1
ＣｏｅＦｏｎｔ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエフォント,コエフォント,3/5,C1
ｃｏｅｆｏｎｔ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエフォント,コエフォント,3/5,C1
ＴＡＬＱｕ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,トーク,トーク,0/3,C1
ｔａｌｑｕ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,トーク,トーク,0/3,C1
ＶＯＩＣＥＶＯＸ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスボックス,ボイスボックス,4/7,C1
ｖｏｉｃｅｖｏｘ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスボックス,ボイスボックス,4/7,C1
ＶＯＩＣＥＲＯＩＤ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスロイド,ボイスロイド,4/6,C1
Ｖｏｉｃｅｒｏｉｄ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスロイド,ボイスロイド,4/6,C1
ＶＯＣＡＬＯＩＤ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボーカロイド,ボーカロイド,4/6,C1
ｖｏｃａｌｏｉｄ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボーカロイド,ボーカロイド,4/6,C1
ボカロ,1348,1348,5000,名詞,固有名詞,一般,*,*,*,*,ボカロ,ボカロ,0/3,C1
ボイロ,1348,1348,5000,名詞,固有名詞,一般,*,*,*,*,ボイロ,ボイロ,0/3,C1
ボイボ,1348,1348,5000,名詞,固有名詞,一般,*,*,*,*,ボイボ,ボイボ,0/3,C1
ＳｅｉｒｅｎＶｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,セイレーンボイス,セイレーンボイス,0/5:1/3,C1
ｓｅｉｒｅｎｖｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,セイレーンボイス,セイレーンボイス,0/5:1/3,C1
ＮＶＯＩＣＥ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エヌボイス,エヌボイス,0/2:1/3,C1
ＮＶｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エヌボイス,エヌボイス,0/2:1/3,C1
ｎｖｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エヌボイス,エヌボイス,0/2:1/3,C1
ＮＡＩＲ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エヌエアー,エヌエアー,0/2:1/3,C1
ＮＡｉｒ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エヌエアー,エヌエアー,0/2:1/3,C1
ｎａｉｒ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エヌエアー,エヌエアー,0/2:1/3,C1
くりたしげたか,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,クリタシゲタカ,クリタシゲタカ,1/3:2/4,C1
１８４,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,イヤヨ,イヤヨ,0/1:1/2,C1
８８８８,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,パチパチパチパチ,パチパチパチパチ,1/2:1/2:1/2:1/2,C1
８８８,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,パチパチパチ,パチパチパチ,1/2:1/2:1/2,C1
？,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ハテナ,ハテナ,1/3,C1
／／／,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,テレ,テレ,0/1:1/1,C1
ＢＡＮ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,バン,バン,1/2:C1
ｋｐ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ケーピー,ケーピー,3/4,C1
ｋｔｋｒ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,キタコレ,キタコレ,1/4,C1
ｋｗｓｋ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,クワシク,クワシク,0/1:1/3,C1
ＲＴＡ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,アールティーエー,アールティーエー,6/7,C1
ＳＮＳ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エスエヌエス,エスエヌエス,0/1:4/5,C1
ＶＴｕｂｅｒ,1348,0,1348,名詞,固有名詞,一般,*,*,*,*,ブイチューバー,ブイチューバー,0/1:2/5,C1
ｗｋｔｋ,1348,0,1348,名詞,固有名詞,一般,*,*,*,*,ワクテカ,ワクテカ,1/4,C1
ｗｗ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ワラワラ,ワラワラ,1/2:1/2,C1
ｗｗｗ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ワラワラワラ,ワラワラワラ,1/2:1/2:1/2,C1
えんちょつ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,エンチョツ,エンチョツ,0/1:3/3,C1
おｋ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,オケ,オケ,1/2,C1
キター,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,キター,キター,3/3,C1
ギフト,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ギフト,ギフト,1/3,C1
こうこつ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コウコツ,コウコツ,0/1:3/3,C1
コミュ限,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コミュゲン,コミュゲン,0/1:1/3,C1
タイムシフト,1348,0,1348,名詞,固有名詞,一般,*,*,*,*,タイムシフト,タイムシフト,0/1:3/5,C1
ニコ生,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ニコナマ,ニコナマ,0/1:3/3,C1
ネ申,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,カミ,カミ,1/2,C1
ノシ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ノシ,ノシ,1/2,C1
わこつ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ワコツ,ワコツ,0/1:2/2,C1
生主,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ナマヌシ,ナマヌシ,0/1:1/3,C1
草,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,クサ,クサ,0/1:1/1,C1
大草原,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ダイソウゲン,ダイソウゲン,0/1:2/4,C1
凸,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,トツ,トツ,1/2,C1
凸待ち,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,トツマチ,トツマチ,0/1:3/3,C1
配信,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ハイシン,ハイシン,0/1:3/3,C1
放送者,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ホウソウシャ,ホウソウシャ,0/1:2/4,C1
初見,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ショケン,ショケン,0/1:2/2,C1
初見です,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ショケンデス,ショケンデス,0/1:4/4,C1
乙,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,オツ,オツ,1/2,C1
穣崇,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,シゲタカ,シゲタカ,0/1:1/3,C1
